date,Kotawaringin Barat,isPartial
2016-11-27,37,False
2016-12-04,9,False
2016-12-11,9,False
2016-12-18,9,False
2016-12-25,10,False
2017-01-01,19,False
2017-01-08,0,False
2017-01-15,18,False
2017-01-22,19,False
2017-01-29,9,False
2017-02-05,9,False
2017-02-12,54,False
2017-02-19,27,False
2017-02-26,9,False
2017-03-05,36,False
2017-03-12,18,False
2017-03-19,18,False
2017-03-26,9,False
2017-04-02,35,False
2017-04-09,53,False
2017-04-16,34,False
2017-04-23,27,False
2017-04-30,18,False
2017-05-07,9,False
2017-05-14,19,False
2017-05-21,29,False
2017-05-28,10,False
2017-06-04,10,False
2017-06-11,19,False
2017-06-18,40,False
2017-06-25,23,False
2017-07-02,19,False
2017-07-09,37,False
2017-07-16,29,False
2017-07-23,0,False
2017-07-30,18,False
2017-08-06,9,False
2017-08-13,28,False
2017-08-20,27,False
2017-08-27,38,False
2017-09-03,18,False
2017-09-10,35,False
2017-09-17,36,False
2017-09-24,44,False
2017-10-01,9,False
2017-10-08,26,False
2017-10-15,9,False
2017-10-22,9,False
2017-10-29,17,False
2017-11-05,9,False
2017-11-12,35,False
2017-11-19,26,False
2017-11-26,35,False
2017-12-03,26,False
2017-12-10,18,False
2017-12-17,18,False
2017-12-24,47,False
2017-12-31,55,False
2018-01-07,17,False
2018-01-14,8,False
2018-01-21,35,False
2018-01-28,44,False
2018-02-04,18,False
2018-02-11,18,False
2018-02-18,35,False
2018-02-25,0,False
2018-03-04,9,False
2018-03-11,0,False
2018-03-18,68,False
2018-03-25,17,False
2018-04-01,25,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,42,False
2018-04-29,17,False
2018-05-06,35,False
2018-05-13,0,False
2018-05-20,17,False
2018-05-27,9,False
2018-06-03,27,False
2018-06-10,10,False
2018-06-17,26,False
2018-06-24,31,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,59,False
2018-07-22,16,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,17,False
2018-08-19,18,False
2018-08-26,26,False
2018-09-02,9,False
2018-09-09,26,False
2018-09-16,42,False
2018-09-23,50,False
2018-09-30,25,False
2018-10-07,41,False
2018-10-14,43,False
2018-10-21,41,False
2018-10-28,63,False
2018-11-04,33,False
2018-11-11,34,False
2018-11-18,71,False
2018-11-25,42,False
2018-12-02,34,False
2018-12-09,44,False
2018-12-16,53,False
2018-12-23,19,False
2018-12-30,47,False
2019-01-06,34,False
2019-01-13,51,False
2019-01-20,26,False
2019-01-27,34,False
2019-02-03,51,False
2019-02-10,41,False
2019-02-17,17,False
2019-02-24,41,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,52,False
2019-04-07,60,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,17,False
2019-05-05,43,False
2019-05-12,34,False
2019-05-19,42,False
2019-05-26,9,False
2019-06-02,21,False
2019-06-09,43,False
2019-06-16,25,False
2019-06-23,65,False
2019-06-30,50,False
2019-07-07,25,False
2019-07-14,8,False
2019-07-21,25,False
2019-07-28,48,False
2019-08-04,58,False
2019-08-11,33,False
2019-08-18,25,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,31,False
2019-10-06,15,False
2019-10-13,39,False
2019-10-20,30,False
2019-10-27,23,False
2019-11-03,39,False
2019-11-10,53,False
2019-11-17,52,False
2019-11-24,30,False
2019-12-01,22,False
2019-12-08,38,False
2019-12-15,56,False
2019-12-22,17,False
2019-12-29,17,False
2020-01-05,46,False
2020-01-12,43,False
2020-01-19,100,False
2020-01-26,23,False
2020-02-02,61,False
2020-02-09,45,False
2020-02-16,15,False
2020-02-23,44,False
2020-03-01,44,False
2020-03-08,57,False
2020-03-15,20,False
2020-03-22,33,False
2020-03-29,69,False
2020-04-05,51,False
2020-04-12,90,False
2020-04-19,48,False
2020-04-26,69,False
2020-05-03,27,False
2020-05-10,35,False
2020-05-17,38,False
2020-05-24,54,False
2020-05-31,83,False
2020-06-07,50,False
2020-06-14,56,False
2020-06-21,29,False
2020-06-28,80,False
2020-07-05,37,False
2020-07-12,21,False
2020-07-19,57,False
2020-07-26,47,False
2020-08-02,50,False
2020-08-09,37,False
2020-08-16,7,False
2020-08-23,31,False
2020-08-30,50,False
2020-09-06,30,False
2020-09-13,30,False
2020-09-20,46,False
2020-09-27,24,False
2020-10-04,25,False
2020-10-11,32,False
2020-10-18,0,False
2020-10-25,47,False
2020-11-01,25,False
2020-11-08,19,False
2020-11-15,26,False
2020-11-22,25,False
2020-11-29,64,False
2020-12-06,51,False
2020-12-13,60,False
2020-12-20,44,False
2020-12-27,75,False
2021-01-03,61,False
2021-01-10,47,False
2021-01-17,47,False
2021-01-24,13,False
2021-01-31,40,False
2021-02-07,41,False
2021-02-14,13,False
2021-02-21,13,False
2021-02-28,32,False
2021-03-07,26,False
2021-03-14,46,False
2021-03-21,44,False
2021-03-28,14,False
2021-04-04,20,False
2021-04-11,14,False
2021-04-18,20,False
2021-04-25,20,False
2021-05-02,21,False
2021-05-09,0,False
2021-05-16,57,False
2021-05-23,7,False
2021-05-30,33,False
2021-06-06,25,False
2021-06-13,53,False
2021-06-20,42,False
2021-06-27,48,False
2021-07-04,21,False
2021-07-11,48,False
2021-07-18,71,False
2021-07-25,19,False
2021-08-01,52,False
2021-08-08,32,False
2021-08-15,38,False
2021-08-22,27,False
2021-08-29,40,False
2021-09-05,48,False
2021-09-12,20,False
2021-09-19,14,False
2021-09-26,41,False
2021-10-03,28,False
2021-10-10,43,False
2021-10-17,36,False
2021-10-24,48,False
2021-10-31,0,False
2021-11-07,78,False
2021-11-14,24,True
