date,Kuantan Singingi,isPartial
2016-11-27,9,False
2016-12-04,26,False
2016-12-11,18,False
2016-12-18,9,False
2016-12-25,57,False
2017-01-01,28,False
2017-01-08,0,False
2017-01-15,27,False
2017-01-22,27,False
2017-01-29,18,False
2017-02-05,18,False
2017-02-12,9,False
2017-02-19,36,False
2017-02-26,35,False
2017-03-05,35,False
2017-03-12,0,False
2017-03-19,18,False
2017-03-26,9,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,25,False
2017-04-23,26,False
2017-04-30,43,False
2017-05-07,26,False
2017-05-14,28,False
2017-05-21,10,False
2017-05-28,9,False
2017-06-04,19,False
2017-06-11,28,False
2017-06-18,10,False
2017-06-25,0,False
2017-07-02,9,False
2017-07-09,18,False
2017-07-16,28,False
2017-07-23,18,False
2017-07-30,35,False
2017-08-06,35,False
2017-08-13,18,False
2017-08-20,35,False
2017-08-27,9,False
2017-09-03,18,False
2017-09-10,26,False
2017-09-17,17,False
2017-09-24,17,False
2017-10-01,17,False
2017-10-08,9,False
2017-10-15,17,False
2017-10-22,9,False
2017-10-29,17,False
2017-11-05,26,False
2017-11-12,26,False
2017-11-19,0,False
2017-11-26,52,False
2017-12-03,17,False
2017-12-10,35,False
2017-12-17,9,False
2017-12-24,18,False
2017-12-31,0,False
2018-01-07,17,False
2018-01-14,25,False
2018-01-21,34,False
2018-01-28,26,False
2018-02-04,17,False
2018-02-11,0,False
2018-02-18,9,False
2018-02-25,34,False
2018-03-04,42,False
2018-03-11,25,False
2018-03-18,42,False
2018-03-25,25,False
2018-04-01,8,False
2018-04-08,25,False
2018-04-15,0,False
2018-04-22,8,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,9,False
2018-05-20,16,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,10,False
2018-06-17,17,False
2018-06-24,46,False
2018-07-01,38,False
2018-07-08,16,False
2018-07-15,25,False
2018-07-22,24,False
2018-07-29,24,False
2018-08-05,8,False
2018-08-12,8,False
2018-08-19,18,False
2018-08-26,9,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,41,False
2018-09-23,17,False
2018-09-30,83,False
2018-10-07,32,False
2018-10-14,59,False
2018-10-21,48,False
2018-10-28,39,False
2018-11-04,41,False
2018-11-11,17,False
2018-11-18,9,False
2018-11-25,16,False
2018-12-02,42,False
2018-12-09,35,False
2018-12-16,9,False
2018-12-23,9,False
2018-12-30,9,False
2019-01-06,50,False
2019-01-13,17,False
2019-01-20,42,False
2019-01-27,25,False
2019-02-03,50,False
2019-02-10,40,False
2019-02-17,16,False
2019-02-24,49,False
2019-03-03,42,False
2019-03-10,41,False
2019-03-17,16,False
2019-03-24,41,False
2019-03-31,9,False
2019-04-07,17,False
2019-04-14,17,False
2019-04-21,25,False
2019-04-28,17,False
2019-05-05,17,False
2019-05-12,17,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,31,False
2019-06-09,34,False
2019-06-16,8,False
2019-06-23,24,False
2019-06-30,57,False
2019-07-07,0,False
2019-07-14,8,False
2019-07-21,0,False
2019-07-28,47,False
2019-08-04,16,False
2019-08-11,49,False
2019-08-18,40,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,30,False
2019-09-22,8,False
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,15,False
2019-10-27,30,False
2019-11-03,46,False
2019-11-10,44,False
2019-11-17,44,False
2019-11-24,81,False
2019-12-01,15,False
2019-12-08,23,False
2019-12-15,39,False
2019-12-22,8,False
2019-12-29,25,False
2020-01-05,15,False
2020-01-12,21,False
2020-01-19,61,False
2020-01-26,30,False
2020-02-02,37,False
2020-02-09,15,False
2020-02-16,22,False
2020-02-23,29,False
2020-03-01,51,False
2020-03-08,42,False
2020-03-15,33,False
2020-03-22,38,False
2020-03-29,19,False
2020-04-05,75,False
2020-04-12,57,False
2020-04-19,47,False
2020-04-26,27,False
2020-05-03,14,False
2020-05-10,48,False
2020-05-17,7,False
2020-05-24,8,False
2020-05-31,25,False
2020-06-07,25,False
2020-06-14,48,False
2020-06-21,58,False
2020-06-28,21,False
2020-07-05,22,False
2020-07-12,34,False
2020-07-19,25,False
2020-07-26,13,False
2020-08-02,49,False
2020-08-09,49,False
2020-08-16,27,False
2020-08-23,67,False
2020-08-30,12,False
2020-09-06,18,False
2020-09-13,23,False
2020-09-20,40,False
2020-09-27,41,False
2020-10-04,49,False
2020-10-11,12,False
2020-10-18,12,False
2020-10-25,26,False
2020-11-01,55,False
2020-11-08,19,False
2020-11-15,25,False
2020-11-22,12,False
2020-11-29,57,False
2020-12-06,69,False
2020-12-13,26,False
2020-12-20,57,False
2020-12-27,37,False
2021-01-03,47,False
2021-01-10,13,False
2021-01-17,53,False
2021-01-24,20,False
2021-01-31,20,False
2021-02-07,27,False
2021-02-14,46,False
2021-02-21,38,False
2021-02-28,19,False
2021-03-07,32,False
2021-03-14,34,False
2021-03-21,31,False
2021-03-28,53,False
2021-04-04,13,False
2021-04-11,27,False
2021-04-18,20,False
2021-04-25,13,False
2021-05-02,28,False
2021-05-09,24,False
2021-05-16,14,False
2021-05-23,47,False
2021-05-30,39,False
2021-06-06,25,False
2021-06-13,26,False
2021-06-20,7,False
2021-06-27,47,False
2021-07-04,14,False
2021-07-11,54,False
2021-07-18,28,False
2021-07-25,25,False
2021-08-01,32,False
2021-08-08,19,False
2021-08-15,38,False
2021-08-22,26,False
2021-08-29,20,False
2021-09-05,27,False
2021-09-12,26,False
2021-09-19,40,False
2021-09-26,20,False
2021-10-03,34,False
2021-10-10,21,False
2021-10-17,100,False
2021-10-24,34,False
2021-10-31,47,False
2021-11-07,49,False
2021-11-14,39,True
