date,Melawi,isPartial
2016-11-27,25,False
2016-12-04,24,False
2016-12-11,20,False
2016-12-18,20,False
2016-12-25,21,False
2017-01-01,31,False
2017-01-08,25,False
2017-01-15,29,False
2017-01-22,20,False
2017-01-29,15,False
2017-02-05,24,False
2017-02-12,19,False
2017-02-19,30,False
2017-02-26,34,False
2017-03-05,24,False
2017-03-12,34,False
2017-03-19,34,False
2017-03-26,14,False
2017-04-02,43,False
2017-04-09,38,False
2017-04-16,37,False
2017-04-23,24,False
2017-04-30,43,False
2017-05-07,34,False
2017-05-14,35,False
2017-05-21,10,False
2017-05-28,16,False
2017-06-04,10,False
2017-06-11,16,False
2017-06-18,43,False
2017-06-25,18,False
2017-07-02,10,False
2017-07-09,10,False
2017-07-16,26,False
2017-07-23,35,False
2017-07-30,10,False
2017-08-06,19,False
2017-08-13,5,False
2017-08-20,39,False
2017-08-27,46,False
2017-09-03,34,False
2017-09-10,19,False
2017-09-17,43,False
2017-09-24,38,False
2017-10-01,19,False
2017-10-08,38,False
2017-10-15,14,False
2017-10-22,38,False
2017-10-29,5,False
2017-11-05,33,False
2017-11-12,14,False
2017-11-19,33,False
2017-11-26,10,False
2017-12-03,9,False
2017-12-10,24,False
2017-12-17,15,False
2017-12-24,10,False
2017-12-31,5,False
2018-01-07,19,False
2018-01-14,27,False
2018-01-21,19,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,19,False
2018-02-18,19,False
2018-02-25,9,False
2018-03-04,18,False
2018-03-11,37,False
2018-03-18,18,False
2018-03-25,23,False
2018-04-01,5,False
2018-04-08,41,False
2018-04-15,9,False
2018-04-22,5,False
2018-04-29,33,False
2018-05-06,14,False
2018-05-13,14,False
2018-05-20,32,False
2018-05-27,19,False
2018-06-03,29,False
2018-06-10,47,False
2018-06-17,23,False
2018-06-24,25,False
2018-07-01,12,False
2018-07-08,17,False
2018-07-15,14,False
2018-07-22,26,False
2018-07-29,39,False
2018-08-05,21,False
2018-08-12,23,False
2018-08-19,15,False
2018-08-26,9,False
2018-09-02,19,False
2018-09-09,28,False
2018-09-16,36,False
2018-09-23,14,False
2018-09-30,50,False
2018-10-07,62,False
2018-10-14,23,False
2018-10-21,22,False
2018-10-28,17,False
2018-11-04,22,False
2018-11-11,32,False
2018-11-18,24,False
2018-11-25,27,False
2018-12-02,28,False
2018-12-09,14,False
2018-12-16,33,False
2018-12-23,46,False
2018-12-30,25,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,28,False
2019-01-27,32,False
2019-02-03,18,False
2019-02-10,31,False
2019-02-17,13,False
2019-02-24,27,False
2019-03-03,41,False
2019-03-10,18,False
2019-03-17,35,False
2019-03-24,4,False
2019-03-31,33,False
2019-04-07,28,False
2019-04-14,46,False
2019-04-21,36,False
2019-04-28,47,False
2019-05-05,18,False
2019-05-12,14,False
2019-05-19,18,False
2019-05-26,14,False
2019-06-02,28,False
2019-06-09,9,False
2019-06-16,18,False
2019-06-23,22,False
2019-06-30,40,False
2019-07-07,27,False
2019-07-14,36,False
2019-07-21,44,False
2019-07-28,21,False
2019-08-04,36,False
2019-08-11,14,False
2019-08-18,18,False
2019-08-25,9,False
2019-09-01,13,False
2019-09-08,29,False
2019-09-15,12,False
2019-09-22,33,False
2019-09-29,25,False
2019-10-06,8,False
2019-10-13,17,False
2019-10-20,4,False
2019-10-27,58,False
2019-11-03,12,False
2019-11-10,24,False
2019-11-17,36,False
2019-11-24,8,False
2019-12-01,24,False
2019-12-08,25,False
2019-12-15,34,False
2019-12-22,9,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,23,False
2020-01-19,29,False
2020-01-26,16,False
2020-02-02,37,False
2020-02-09,44,False
2020-02-16,36,False
2020-02-23,36,False
2020-03-01,36,False
2020-03-08,23,False
2020-03-15,33,False
2020-03-22,35,False
2020-03-29,17,False
2020-04-05,31,False
2020-04-12,42,False
2020-04-19,33,False
2020-04-26,22,False
2020-05-03,41,False
2020-05-10,19,False
2020-05-17,16,False
2020-05-24,25,False
2020-05-31,48,False
2020-06-07,20,False
2020-06-14,45,False
2020-06-21,16,False
2020-06-28,51,False
2020-07-05,36,False
2020-07-12,56,False
2020-07-19,31,False
2020-07-26,33,False
2020-08-02,23,False
2020-08-09,20,False
2020-08-16,26,False
2020-08-23,33,False
2020-08-30,13,False
2020-09-06,42,False
2020-09-13,39,False
2020-09-20,25,False
2020-09-27,35,False
2020-10-04,17,False
2020-10-11,55,False
2020-10-18,31,False
2020-10-25,33,False
2020-11-01,20,False
2020-11-08,34,False
2020-11-15,28,False
2020-11-22,44,False
2020-11-29,19,False
2020-12-06,100,False
2020-12-13,47,False
2020-12-20,35,False
2020-12-27,20,False
2021-01-03,40,False
2021-01-10,36,False
2021-01-17,29,False
2021-01-24,39,False
2021-01-31,36,False
2021-02-07,26,False
2021-02-14,32,False
2021-02-21,21,False
2021-02-28,31,False
2021-03-07,17,False
2021-03-14,28,False
2021-03-21,48,False
2021-03-28,22,False
2021-04-04,22,False
2021-04-11,33,False
2021-04-18,25,False
2021-04-25,18,False
2021-05-02,27,False
2021-05-09,17,False
2021-05-16,27,False
2021-05-23,29,False
2021-05-30,14,False
2021-06-06,34,False
2021-06-13,47,False
2021-06-20,11,False
2021-06-27,40,False
2021-07-04,27,False
2021-07-11,22,False
2021-07-18,27,False
2021-07-25,14,False
2021-08-01,21,False
2021-08-08,24,False
2021-08-15,21,False
2021-08-22,47,False
2021-08-29,43,False
2021-09-05,26,False
2021-09-12,43,False
2021-09-19,22,False
2021-09-26,19,False
2021-10-03,26,False
2021-10-10,8,False
2021-10-17,23,False
2021-10-24,26,False
2021-10-31,37,False
2021-11-07,19,False
2021-11-14,43,True
