date,Padang Pariaman,isPartial
2016-11-27,26,False
2016-12-04,23,False
2016-12-11,21,False
2016-12-18,27,False
2016-12-25,37,False
2017-01-01,15,False
2017-01-08,18,False
2017-01-15,40,False
2017-01-22,30,False
2017-01-29,23,False
2017-02-05,40,False
2017-02-12,34,False
2017-02-19,23,False
2017-02-26,37,False
2017-03-05,34,False
2017-03-12,37,False
2017-03-19,23,False
2017-03-26,34,False
2017-04-02,28,False
2017-04-09,22,False
2017-04-16,38,False
2017-04-23,25,False
2017-04-30,42,False
2017-05-07,37,False
2017-05-14,12,False
2017-05-21,25,False
2017-05-28,18,False
2017-06-04,27,False
2017-06-11,31,False
2017-06-18,22,False
2017-06-25,29,False
2017-07-02,24,False
2017-07-09,24,False
2017-07-16,24,False
2017-07-23,26,False
2017-07-30,20,False
2017-08-06,23,False
2017-08-13,26,False
2017-08-20,23,False
2017-08-27,45,False
2017-09-03,14,False
2017-09-10,31,False
2017-09-17,17,False
2017-09-24,42,False
2017-10-01,25,False
2017-10-08,22,False
2017-10-15,28,False
2017-10-22,42,False
2017-10-29,30,False
2017-11-05,33,False
2017-11-12,28,False
2017-11-19,31,False
2017-11-26,25,False
2017-12-03,25,False
2017-12-10,56,False
2017-12-17,35,False
2017-12-24,36,False
2017-12-31,35,False
2018-01-07,30,False
2018-01-14,29,False
2018-01-21,55,False
2018-01-28,14,False
2018-02-04,31,False
2018-02-11,20,False
2018-02-18,39,False
2018-02-25,49,False
2018-03-04,27,False
2018-03-11,35,False
2018-03-18,22,False
2018-03-25,52,False
2018-04-01,46,False
2018-04-08,30,False
2018-04-15,35,False
2018-04-22,30,False
2018-04-29,36,False
2018-05-06,39,False
2018-05-13,54,False
2018-05-20,43,False
2018-05-27,31,False
2018-06-03,29,False
2018-06-10,37,False
2018-06-17,45,False
2018-06-24,50,False
2018-07-01,36,False
2018-07-08,43,False
2018-07-15,35,False
2018-07-22,31,False
2018-07-29,41,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,55,False
2018-08-26,28,False
2018-09-02,28,False
2018-09-09,41,False
2018-09-16,53,False
2018-09-23,43,False
2018-09-30,29,False
2018-10-07,39,False
2018-10-14,38,False
2018-10-21,96,False
2018-10-28,35,False
2018-11-04,42,False
2018-11-11,40,False
2018-11-18,48,False
2018-11-25,61,False
2018-12-02,60,False
2018-12-09,59,False
2018-12-16,42,False
2018-12-23,48,False
2018-12-30,51,False
2019-01-06,68,False
2019-01-13,44,False
2019-01-20,60,False
2019-01-27,35,False
2019-02-03,32,False
2019-02-10,18,False
2019-02-17,32,False
2019-02-24,45,False
2019-03-03,49,False
2019-03-10,42,False
2019-03-17,63,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,27,False
2019-04-14,35,False
2019-04-21,40,False
2019-04-28,33,False
2019-05-05,71,False
2019-05-12,40,False
2019-05-19,40,False
2019-05-26,45,False
2019-06-02,60,False
2019-06-09,35,False
2019-06-16,58,False
2019-06-23,73,False
2019-06-30,40,False
2019-07-07,45,False
2019-07-14,43,False
2019-07-21,34,False
2019-07-28,33,False
2019-08-04,42,False
2019-08-11,53,False
2019-08-18,34,False
2019-08-25,41,False
2019-09-01,23,False
2019-09-08,34,False
2019-09-15,39,False
2019-09-22,30,False
2019-09-29,37,False
2019-10-06,29,False
2019-10-13,37,False
2019-10-20,24,False
2019-10-27,39,False
2019-11-03,42,False
2019-11-10,48,False
2019-11-17,45,False
2019-11-24,60,False
2019-12-01,40,False
2019-12-08,41,False
2019-12-15,51,False
2019-12-22,29,False
2019-12-29,45,False
2020-01-05,49,False
2020-01-12,25,False
2020-01-19,54,False
2020-01-26,48,False
2020-02-02,41,False
2020-02-09,55,False
2020-02-16,58,False
2020-02-23,56,False
2020-03-01,33,False
2020-03-08,37,False
2020-03-15,45,False
2020-03-22,52,False
2020-03-29,32,False
2020-04-05,32,False
2020-04-12,39,False
2020-04-19,48,False
2020-04-26,37,False
2020-05-03,28,False
2020-05-10,33,False
2020-05-17,43,False
2020-05-24,27,False
2020-05-31,45,False
2020-06-07,22,False
2020-06-14,34,False
2020-06-21,35,False
2020-06-28,32,False
2020-07-05,38,False
2020-07-12,31,False
2020-07-19,45,False
2020-07-26,26,False
2020-08-02,42,False
2020-08-09,37,False
2020-08-16,52,False
2020-08-23,44,False
2020-08-30,34,False
2020-09-06,37,False
2020-09-13,40,False
2020-09-20,26,False
2020-09-27,27,False
2020-10-04,20,False
2020-10-11,36,False
2020-10-18,40,False
2020-10-25,34,False
2020-11-01,47,False
2020-11-08,18,False
2020-11-15,23,False
2020-11-22,24,False
2020-11-29,43,False
2020-12-06,100,False
2020-12-13,53,False
2020-12-20,49,False
2020-12-27,43,False
2021-01-03,50,False
2021-01-10,26,False
2021-01-17,24,False
2021-01-24,38,False
2021-01-31,25,False
2021-02-07,26,False
2021-02-14,36,False
2021-02-21,41,False
2021-02-28,32,False
2021-03-07,29,False
2021-03-14,33,False
2021-03-21,34,False
2021-03-28,43,False
2021-04-04,25,False
2021-04-11,44,False
2021-04-18,25,False
2021-04-25,41,False
2021-05-02,40,False
2021-05-09,28,False
2021-05-16,48,False
2021-05-23,32,False
2021-05-30,48,False
2021-06-06,34,False
2021-06-13,38,False
2021-06-20,29,False
2021-06-27,46,False
2021-07-04,54,False
2021-07-11,35,False
2021-07-18,54,False
2021-07-25,24,False
2021-08-01,33,False
2021-08-08,27,False
2021-08-15,37,False
2021-08-22,30,False
2021-08-29,38,False
2021-09-05,26,False
2021-09-12,25,False
2021-09-19,35,False
2021-09-26,24,False
2021-10-03,37,False
2021-10-10,36,False
2021-10-17,30,False
2021-10-24,39,False
2021-10-31,39,False
2021-11-07,36,False
2021-11-14,35,True
