date,Padangsidimpuan,isPartial
2016-11-27,29,False
2016-12-04,9,False
2016-12-11,10,False
2016-12-18,23,False
2016-12-25,24,False
2017-01-01,30,False
2017-01-08,19,False
2017-01-15,31,False
2017-01-22,55,False
2017-01-29,22,False
2017-02-05,31,False
2017-02-12,25,False
2017-02-19,16,False
2017-02-26,9,False
2017-03-05,18,False
2017-03-12,19,False
2017-03-19,44,False
2017-03-26,78,False
2017-04-02,37,False
2017-04-09,24,False
2017-04-16,39,False
2017-04-23,28,False
2017-04-30,37,False
2017-05-07,37,False
2017-05-14,23,False
2017-05-21,24,False
2017-05-28,13,False
2017-06-04,40,False
2017-06-11,20,False
2017-06-18,42,False
2017-06-25,51,False
2017-07-02,36,False
2017-07-09,100,False
2017-07-16,77,False
2017-07-23,32,False
2017-07-30,22,False
2017-08-06,28,False
2017-08-13,64,False
2017-08-20,37,False
2017-08-27,33,False
2017-09-03,12,False
2017-09-10,34,False
2017-09-17,34,False
2017-09-24,34,False
2017-10-01,31,False
2017-10-08,39,False
2017-10-15,33,False
2017-10-22,36,False
2017-10-29,33,False
2017-11-05,24,False
2017-11-12,30,False
2017-11-19,30,False
2017-11-26,25,False
2017-12-03,27,False
2017-12-10,31,False
2017-12-17,25,False
2017-12-24,16,False
2017-12-31,35,False
2018-01-07,45,False
2018-01-14,17,False
2018-01-21,30,False
2018-01-28,40,False
2018-02-04,34,False
2018-02-11,31,False
2018-02-18,42,False
2018-02-25,39,False
2018-03-04,30,False
2018-03-11,33,False
2018-03-18,21,False
2018-03-25,42,False
2018-04-01,29,False
2018-04-08,50,False
2018-04-15,26,False
2018-04-22,50,False
2018-04-29,51,False
2018-05-06,18,False
2018-05-13,43,False
2018-05-20,29,False
2018-05-27,43,False
2018-06-03,28,False
2018-06-10,14,False
2018-06-17,15,False
2018-06-24,57,False
2018-07-01,32,False
2018-07-08,46,False
2018-07-15,29,False
2018-07-22,59,False
2018-07-29,39,False
2018-08-05,19,False
2018-08-12,36,False
2018-08-19,28,False
2018-08-26,30,False
2018-09-02,42,False
2018-09-09,30,False
2018-09-16,29,False
2018-09-23,32,False
2018-09-30,17,False
2018-10-07,26,False
2018-10-14,36,False
2018-10-21,39,False
2018-10-28,33,False
2018-11-04,46,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,38,False
2018-12-02,36,False
2018-12-09,43,False
2018-12-16,33,False
2018-12-23,49,False
2018-12-30,39,False
2019-01-06,44,False
2019-01-13,44,False
2019-01-20,72,False
2019-01-27,56,False
2019-02-03,47,False
2019-02-10,37,False
2019-02-17,29,False
2019-02-24,40,False
2019-03-03,41,False
2019-03-10,49,False
2019-03-17,37,False
2019-03-24,23,False
2019-03-31,39,False
2019-04-07,56,False
2019-04-14,36,False
2019-04-21,50,False
2019-04-28,33,False
2019-05-05,30,False
2019-05-12,35,False
2019-05-19,26,False
2019-05-26,27,False
2019-06-02,25,False
2019-06-09,42,False
2019-06-16,69,False
2019-06-23,65,False
2019-06-30,20,False
2019-07-07,60,False
2019-07-14,38,False
2019-07-21,28,False
2019-07-28,41,False
2019-08-04,57,False
2019-08-11,55,False
2019-08-18,60,False
2019-08-25,39,False
2019-09-01,41,False
2019-09-08,45,False
2019-09-15,37,False
2019-09-22,32,False
2019-09-29,40,False
2019-10-06,45,False
2019-10-13,54,False
2019-10-20,34,False
2019-10-27,24,False
2019-11-03,32,False
2019-11-10,21,False
2019-11-17,44,False
2019-11-24,23,False
2019-12-01,26,False
2019-12-08,37,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,44,False
2020-01-05,35,False
2020-01-12,30,False
2020-01-19,43,False
2020-01-26,71,False
2020-02-02,47,False
2020-02-09,39,False
2020-02-16,29,False
2020-02-23,51,False
2020-03-01,56,False
2020-03-08,47,False
2020-03-15,42,False
2020-03-22,41,False
2020-03-29,46,False
2020-04-05,66,False
2020-04-12,45,False
2020-04-19,33,False
2020-04-26,48,False
2020-05-03,48,False
2020-05-10,53,False
2020-05-17,42,False
2020-05-24,49,False
2020-05-31,45,False
2020-06-07,44,False
2020-06-14,41,False
2020-06-21,53,False
2020-06-28,58,False
2020-07-05,78,False
2020-07-12,50,False
2020-07-19,46,False
2020-07-26,51,False
2020-08-02,56,False
2020-08-09,49,False
2020-08-16,52,False
2020-08-23,52,False
2020-08-30,45,False
2020-09-06,36,False
2020-09-13,33,False
2020-09-20,28,False
2020-09-27,37,False
2020-10-04,30,False
2020-10-11,18,False
2020-10-18,28,False
2020-10-25,35,False
2020-11-01,45,False
2020-11-08,35,False
2020-11-15,47,False
2020-11-22,42,False
2020-11-29,40,False
2020-12-06,33,False
2020-12-13,44,False
2020-12-20,38,False
2020-12-27,37,False
2021-01-03,35,False
2021-01-10,25,False
2021-01-17,21,False
2021-01-24,53,False
2021-01-31,41,False
2021-02-07,82,False
2021-02-14,51,False
2021-02-21,31,False
2021-02-28,37,False
2021-03-07,40,False
2021-03-14,44,False
2021-03-21,42,False
2021-03-28,42,False
2021-04-04,28,False
2021-04-11,41,False
2021-04-18,39,False
2021-04-25,28,False
2021-05-02,51,False
2021-05-09,47,False
2021-05-16,67,False
2021-05-23,24,False
2021-05-30,52,False
2021-06-06,35,False
2021-06-13,74,False
2021-06-20,41,False
2021-06-27,64,False
2021-07-04,78,False
2021-07-11,58,False
2021-07-18,78,False
2021-07-25,55,False
2021-08-01,36,False
2021-08-08,34,False
2021-08-15,31,False
2021-08-22,44,False
2021-08-29,41,False
2021-09-05,33,False
2021-09-12,42,False
2021-09-19,42,False
2021-09-26,41,False
2021-10-03,43,False
2021-10-10,47,False
2021-10-17,43,False
2021-10-24,24,False
2021-10-31,50,False
2021-11-07,29,False
2021-11-14,47,True
